"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12297","TC-006 | Add a new system user linked to the new employee","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","6119","TC-001 | Login and validate the logged-in user","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","4252","TC-013 | Assert the employee no longer exists after deletion","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","1885","TC-005 | Navigate to Admin > User Management","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","6580","TC-003 | Add a new employee","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","2565","TC-009 | Assert the search result matches the added user","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","2167","TC-014 | Logout and assert redirect to login","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","4402","TC-012 | Delete the added employee","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","2036","TC-002 | Navigate to Employee page","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","3444","TC-007 | Assert the newly added user exists in the list","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","3386","TC-008 | Search for the added user by username","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","3414","TC-011 | Assert the user no longer exists after deletion","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","4552","TC-004 | Assert the new employee exists in the list","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
"","3574","TC-010 | Delete the added user","chromium","2026-03-30","passed","2026-03-30","User Management — role: Admin | base: Ahmed_Esam","employeeAndUser.spec.ts","",""
